WKT,nome,descrição
"POLYGON ((-47.5566631 -22.4115951, -47.5566096 -22.4117186, -47.5561697 -22.4115103, -47.556395 -22.4107763, -47.5567544 -22.4098142, -47.5576637 -22.4072329, -47.557763 -22.4070445, -47.5579346 -22.4067519, -47.5583472 -22.4056345, -47.556475 -22.405084, -47.5565105 -22.4046844, -47.5564246 -22.403137, -47.5565427 -22.4007366, -47.5567143 -22.3990106, -47.5579241 -22.3988871, -47.5576719 -22.3977563, -47.5637679 -22.3996904, -47.564377 -22.4007111, -47.5647847 -22.4015443, -47.5650942 -22.4028105, -47.5652444 -22.4040702, -47.5651907 -22.4048737, -47.5648367 -22.4057763, -47.5644612 -22.4065004, -47.5649499 -22.4085471, -47.5658726 -22.4097274, -47.5669562 -22.4109474, -47.5676428 -22.4113144, -47.5698959 -22.4135162, -47.5682758 -22.4173645, -47.5618754 -22.4152474, -47.5564632 -22.4135934, -47.5571713 -22.411823, -47.5569272 -22.4116295, -47.5566631 -22.4115951), (-47.5563747 -22.4115576, -47.5566633 -22.4115946, -47.5566631 -22.4115951, -47.5563747 -22.4115576))",Centro, Rio Claro - SP,
"POLYGON ((-47.5723925 -22.3868097, -47.5678872 -22.3866421, -47.5680347 -22.384906, -47.5687031 -22.3849407, -47.5691108 -22.3851639, -47.5704385 -22.3852334, -47.5705592 -22.3851639, -47.570932 -22.3844422, -47.5702132 -22.3840156, -47.569961 -22.3839412, -47.5694085 -22.3839016, -47.5690544 -22.3838619, -47.5686038 -22.3835667, -47.5687487 -22.3822944, -47.5687548 -22.3821289, -47.5698418 -22.3822232, -47.570098 -22.3821475, -47.5702281 -22.3821624, -47.5704988 -22.3823187, -47.5706418 -22.382125, -47.5707759 -22.3808526, -47.5712909 -22.3812395, -47.5719239 -22.3815421, -47.5723227 -22.3817502, -47.5743773 -22.3827522, -47.5734546 -22.3846966, -47.5723925 -22.3868097))",Jardim Cherveson, Rio Claro - SP,
"POINT (-47.5712823 -22.3840107)",Jardim Cherveson,
